#name, A, B
NODE_0000000, 0.2845857662823916, 0.7154142337176085
NODE_0000001, 0.0436176677224666, 0.9563823322775333
seq_091, 0.0, 1.0
NODE_0000002, 0.039774354549879716, 0.9602256454501203
NODE_0000003, 0.04976616257673378, 0.9502338374232664
seq_196, 0.0, 0.9999999999999999
NODE_0000004, 0.04386419867447226, 0.9561358013255279
NODE_0000005, 0.007004110197934735, 0.9929958898020653
seq_383, 0.0, 0.9999999999999999
seq_386, 0.0, 1.0
NODE_0000006, 0.02673158350306568, 0.9732684164969344
seq_384, 0.0, 1.0
seq_385, 0.0, 0.9999999999999999
NODE_0000007, 0.004981923147571234, 0.9950180768524288
seq_186, 0.0, 0.9999999999999999
NODE_0000008, 0.0033360669377204655, 0.9966639330622795
seq_094, 0.0, 1.0
NODE_0000009, 0.008479213436399619, 0.9915207865636004
seq_287, 0.0, 0.9999999999999999
NODE_0000010, 0.004710550611941913, 0.9952894493880581
NODE_0000011, 0.0049482623905456715, 0.9950517376094543
seq_190, 0.0, 1.0
NODE_0000012, 0.0030266429386291384, 0.9969733570613708
NODE_0000013, 0.010276546276928748, 0.9897234537230712
seq_193, 0.0, 1.0
seq_195, 0.0, 0.9999999999999999
NODE_0000014, 0.0032752811513387776, 0.9967247188486613
NODE_0000015, 0.0038282945057257494, 0.9961717054942743
seq_007, 0.0, 0.9999999999999999
seq_187, 0.0, 1.0
NODE_0000016, 0.004340124893502569, 0.9956598751064974
seq_191, 0.0, 1.0
NODE_0000017, 0.008503762458192085, 0.991496237541808
seq_114, 0.0, 1.0
seq_182, 0.0, 1.0
NODE_0000018, 0.007318363446523663, 0.9926816365534763
seq_194, 0.0, 1.0
NODE_0000019, 0.010347430160252651, 0.9896525698397473
seq_279, 0.0, 0.9999999999999999
NODE_0000020, 0.014229607193395279, 0.9857703928066047
seq_189, 0.0, 1.0
NODE_0000021, 0.017565462920238393, 0.9824345370797616
NODE_0000022, 2.7644463273015075e-06, 0.9999972355536727
seq_181, 0.0, 1.0
seq_188, 0.0, 0.9999999999999999
NODE_0000023, 0.02054350826041148, 0.9794564917395885
seq_271, 0.0, 1.0
seq_277, 0.0, 1.0
NODE_0000024, 0.005043115773860294, 0.9949568842261398
NODE_0000025, 0.015352230896351985, 0.984647769103648
seq_078, 0.0, 1.0
NODE_0000026, 0.01657674025753593, 0.983423259742464
NODE_0000027, 0.017957911152932386, 0.9820420888470677
seq_071, 0.0, 1.0
seq_076, 0.0, 1.0
NODE_0000028, 0.017497016461524583, 0.9825029835384754
seq_214, 0.0, 0.9999999999999999
NODE_0000029, 0.020750778175479292, 0.9792492218245207
seq_075, 0.0, 1.0
NODE_0000030, 0.023217647706005304, 0.9767823522939947
seq_073, 0.0, 1.0
seq_213, 0.0, 1.0
NODE_0000031, 0.03501316798602699, 0.964986832013973
seq_215, 0.0, 0.9999999999999999
NODE_0000032, 0.2457987622208815, 0.7542012377791185
NODE_0000033, 0.00247888534574681, 0.9975211146542533
seq_074, 0.0, 1.0
seq_079, 0.0, 1.0
NODE_0000034, 0.9982237878271633, 0.0017762121728367478
seq_636, 1.0, 0.0
seq_649, 1.0, 0.0
NODE_0000035, 0.005184107875764121, 0.9948158921242359
NODE_0000036, 0.00621569401062373, 0.9937843059893763
seq_119, 0.0, 1.0
NODE_0000037, 0.013481166930260757, 0.9865188330697391
seq_077, 0.0, 1.0
seq_080, 0.0, 1.0
NODE_0000038, 0.006083727390573021, 0.9939162726094269
seq_170, 0.0, 1.0
NODE_0000039, 0.006787511244471583, 0.9932124887555284
NODE_0000040, 0.01368673450179333, 0.9863132654982066
seq_001, 0.0, 1.0
NODE_0000041, 0.013059867775697124, 0.9869401322243029
seq_184, 0.0, 0.9999999999999999
seq_389, 0.0, 1.0
NODE_0000042, 0.005888826743209249, 0.9941111732567909
seq_120, 0.0, 1.0
NODE_0000043, 0.006223487339912816, 0.9937765126600872
seq_010, 0.0, 1.0
seq_185, 0.0, 0.9999999999999999
NODE_0000044, 0.010669978337809478, 0.9893300216621905
NODE_0000045, 0.011400379737147843, 0.9885996202628521
seq_171, 0.0, 0.9999999999999999
NODE_0000046, 0.013607066808469974, 0.98639293319153
seq_249, 0.0, 0.9999999999999999
NODE_0000047, 0.012540644358100287, 0.9874593556418998
seq_082, 0.0, 1.0
NODE_0000048, 0.010901566121316198, 0.9890984338786838
seq_548, 0.0, 1.0
NODE_0000049, 0.010783229420538288, 0.9892167705794617
seq_547, 0.0, 1.0
seq_197, 0.0, 1.0
NODE_0000050, 0.013122090222156381, 0.9868779097778436
seq_424, 0.0, 0.9999999999999999
NODE_0000051, 0.016687164065531966, 0.983312835934468
seq_400, 0.0, 0.9999999999999999
NODE_0000052, 0.019721532861724782, 0.9802784671382753
seq_253, 0.0, 1.0
NODE_0000053, 0.028072579965710494, 0.9719274200342894
seq_413, 0.0, 0.9999999999999999
seq_425, 0.0, 1.0
NODE_0000054, 0.015111259220721238, 0.9848887407792787
NODE_0000055, 0.10342150153748064, 0.8965784984625195
seq_423, 0.0, 0.9999999999999999
seq_594, 1.0, 0.0
NODE_0000056, 0.01498962279159514, 0.9850103772084048
seq_146, 0.0, 1.0
NODE_0000057, 0.005194439339489315, 0.9948055606605106
NODE_0000058, 0.01490305083801477, 0.9850969491619852
seq_103, 0.0, 1.0
seq_403, 0.0, 1.0
NODE_0000059, 0.004389212656053409, 0.9956107873439466
NODE_0000060, 0.013434840858879792, 0.9865651591411203
seq_331, 0.0, 1.0
seq_467, 0.0, 1.0
NODE_0000061, 0.006263574822816717, 0.9937364251771833
seq_251, 0.0, 1.0
NODE_0000062, 0.008493107159642712, 0.9915068928403573
seq_252, 0.0, 1.0
NODE_0000063, 0.00903092289245269, 0.9909690771075472
NODE_0000064, 0.019521414129237025, 0.980478585870763
seq_404, 0.0, 1.0
seq_409, 0.0, 1.0
NODE_0000065, 0.013649557251476043, 0.986350442748524
seq_321, 0.0, 1.0
NODE_0000066, 0.01129154664960593, 0.988708453350394
seq_250, 0.0, 0.9999999999999999
seq_334, 0.0, 0.9999999999999999
NODE_0000067, 0.004511642715799196, 0.9954883572842009
seq_373, 0.0, 1.0
NODE_0000068, 0.004034998569485038, 0.9959650014305148
NODE_0000069, 0.010308674345532955, 0.989691325654467
seq_199, 0.0, 1.0
seq_281, 0.0, 1.0
NODE_0000070, 0.007427927227272465, 0.9925720727727275
seq_563, 0.0, 0.9999999999999999
