#node	date	numeric date
NODE_0000192	2000-07-06	2000.512734
seq_384	2014-04-24	2014.310959
NODE_0000193	2002-07-19	2002.546880
seq_379	2014-12-15	2014.954795
seq_399	2016-11-23	2016.894809
NODE_0000087	2002-04-25	2002.312625
NODE_0000088	2002-08-16	2002.623019
NODE_0000191	2003-10-26	2003.816810
seq_075	2007-01-01	2007.001370
seq_508	2013-01-08	2013.020548
NODE_0000091	2005-01-01	2005.001370
seq_180	2005-01-01	2005.001370
seq_047	2005-01-01	2005.001370
NODE_0000194	2002-11-28	2002.909378
seq_414	2017-12-27	2017.987671
NODE_0000196	2004-11-21	2004.890688
seq_396	2015-10-21	2015.804110
seq_410	2017-05-08	2017.349315
NODE_0000197	2003-11-28	2003.907847
seq_397	2016-02-25	2016.151639
seq_402	2015-03-18	2015.209589
NODE_0000198	1999-12-09	1999.938643
seq_343	2011-04-12	2011.278082
NODE_0000200	2000-02-17	2000.129298
NODE_0000201	2004-01-10	2004.025779
seq_378	2012-10-25	2012.815574
seq_381	2014-11-13	2014.867123
NODE_0000202	2003-05-22	2003.386568
seq_347	2012-10-09	2012.771858
NODE_0000203	2007-10-11	2007.775707
seq_407	2011-10-20	2011.801370
seq_408	2010-12-01	2010.916438
NODE_0000204	2000-06-14	2000.453465
NODE_0000205	2005-11-14	2005.870999
seq_377	2014-03-28	2014.236986
seq_401	2015-01-21	2015.056164
NODE_0000206	2002-02-27	2002.158793
NODE_0000207	2005-07-29	2005.573352
seq_324	2013-04-01	2013.247945
seq_382	2016-01-22	2016.058743
NODE_0000208	2003-12-11	2003.943539
NODE_0000209	2004-10-31	2004.833207
seq_284	2010-11-16	2010.875342
seq_303	2011-01-31	2011.083562
NODE_0000210	2003-12-11	2003.943539
seq_073	2006-11-08	2006.853425
NODE_0000211	2005-11-15	2005.872085
seq_320	2012-10-01	2012.750000
seq_332	2013-10-01	2013.749315
NODE_0000097	1914-11-27	1914.905989
NODE_0000096	1916-03-18	1916.211788
seq_030	1918-01-01	1918.001370
NODE_0000089	1924-06-27	1924.488763
NODE_0000090	1931-12-23	1931.976661
NODE_0000134	1932-12-31	1932.998634
seq_064	1932-12-31	1932.998634
seq_052	1932-12-31	1932.998634
NODE_0000092	1932-12-31	1932.998634
seq_063	1932-12-31	1932.998634
NODE_0000093	1943-10-06	1943.763977
NODE_0000094	1954-07-07	1954.514185
seq_156	2004-01-01	2004.001366
seq_157	--	--
NODE_0000095	--	--
seq_264	--	--
seq_265	--	--
NODE_0000082	1925-01-03	1925.007184
NODE_0000083	1928-06-12	1928.446170
seq_254	1965-01-01	1965.001370
NODE_0000084	1928-09-03	1928.674322
NODE_0000085	1930-02-11	1930.113052
seq_034	1933-12-31	1933.998630
seq_074	1934-01-01	1934.001370
NODE_0000086	1933-09-24	1933.731071
seq_048	1933-12-31	1933.998630
NODE_0000144	1933-12-30	1933.996595
seq_058	1933-12-31	1933.998630
NODE_0000146	1934-01-01	1934.001370
seq_055	1934-01-01	1934.001370
seq_065	1935-01-01	1935.001370
NODE_0000081	1937-11-21	1937.888808
seq_062	1943-01-01	1943.001370
NODE_0000080	1939-05-14	1939.365540
seq_061	1942-01-01	1942.001370
NODE_0000079	1940-09-28	1940.742089
seq_035	1947-01-01	1947.001370
NODE_0000065	1949-06-12	1949.445591
NODE_0000066	1974-07-17	1974.540734
NODE_0000159	1976-05-28	1976.405597
seq_033	1977-01-01	1977.001370
seq_032	1977-01-01	1977.001370
NODE_0000068	1978-02-12	1978.115602
NODE_0000069	1981-02-08	1981.105920
seq_036	1982-01-01	1982.001370
seq_037	1982-01-01	1982.001370
NODE_0000070	1979-02-26	1979.155907
NODE_0000071	1979-07-30	1979.576056
seq_025	1983-01-01	1983.001370
NODE_0000072	1996-09-11	1996.695270
seq_175	2004-01-01	2004.001366
seq_239	2006-01-01	2006.001370
NODE_0000073	1987-12-10	1987.939815
seq_017	1998-01-01	1998.001370
NODE_0000074	1999-12-11	1999.942965
seq_270	2008-03-25	2008.230874
NODE_0000075	2001-03-16	2001.203314
seq_010	2002-01-14	2002.036986
seq_011	2002-01-23	2002.061644
NODE_0000077	2001-08-23	2001.642716
seq_007	2001-12-27	2001.987671
seq_008	2002-01-01	2002.001370
seq_009	2002-01-06	2002.015068
NODE_0000064	1950-05-08	1950.348078
seq_044	1954-01-01	1954.001370
NODE_0000058	1966-04-30	1966.327571
seq_255	1969-01-01	1969.001370
NODE_0000060	1967-03-15	1967.200677
seq_022	1968-01-01	1968.001366
NODE_0000063	1967-09-21	1967.722756
seq_021	1968-01-01	1968.001366
seq_023	1968-01-01	1968.001366
NODE_0000174	1968-01-01	1968.001366
seq_020	1968-01-01	1968.001366
seq_019	1968-01-01	1968.001366
NODE_0000056	1968-07-23	1968.559917
NODE_0000057	1969-02-16	1969.128060
seq_031	--	--
seq_409	2012-08-04	2012.591530
NODE_0000053	1969-06-25	1969.480024
NODE_0000054	1970-08-17	1970.624727
seq_269	1981-01-01	1981.001370
NODE_0000055	1980-06-08	1980.436954
seq_310	1987-01-01	1987.001370
seq_368	1992-01-01	1992.001366
NODE_0000049	1972-11-14	1972.871400
NODE_0000050	1977-01-01	1977.001370
seq_155	1977-01-01	1977.001370
seq_169	1977-01-01	1977.001370
NODE_0000182	2002-01-01	2002.001370
seq_245	2002-01-01	2002.001370
seq_237	2005-01-01	2005.001370
NODE_0000047	1974-04-02	1974.249786
seq_154	1980-01-01	1980.001366
seq_256	1975-01-01	1975.001370
NODE_0000046	1981-05-17	1981.375169
seq_509	1985-01-01	1985.000000
NODE_0000043	1987-07-05	1987.507335
NODE_0000044	1992-01-11	1992.027373
seq_029	1995-01-01	1995.001370
NODE_0000187	1994-10-24	1994.811221
seq_012	1996-01-01	1996.001366
seq_013	1996-01-01	1996.001366
NODE_0000034	1991-06-23	1991.475431
NODE_0000041	1993-05-08	1993.348594
seq_026	1996-01-01	1996.001366
NODE_0000042	1994-07-27	1994.568243
seq_027	1997-01-01	1997.001370
seq_028	1997-01-01	1997.001370
NODE_0000150	1994-01-02	1994.005228
seq_168	1997-01-01	1997.001370
NODE_0000161	1994-04-16	1994.287775
NODE_0000195	1995-03-18	1995.210818
seq_172	1997-01-01	1997.001370
NODE_0000199	1995-05-28	1995.404607
seq_014	1996-01-01	1996.001366
NODE_0000222	1996-05-21	1996.387634
seq_015	1997-01-01	1997.001370
NODE_0000228	1996-05-29	1996.408405
seq_170	1997-01-01	1997.001370
seq_171	1997-01-01	1997.001370
NODE_0000013	1994-11-19	1994.883467
seq_053	1997-03-22	1997.220548
seq_165	1998-01-01	1998.001370
NODE_0000033	1995-03-29	1995.239331
seq_016	1997-01-01	1997.001370
seq_164	1998-01-01	1998.001370
NODE_0000001	1996-05-02	1996.334641
NODE_0000000	2000-09-15	2000.706130
seq_001	2002-01-01	2002.001370
seq_183	2003-01-01	2003.001370
NODE_0000002	1997-09-22	1997.725315
NODE_0000003	1999-03-26	1999.230499
seq_286	2008-11-01	2008.834699
seq_329	2009-09-24	2009.730137
NODE_0000004	2002-02-05	2002.096785
seq_038	2003-09-12	2003.697260
NODE_0000006	2003-07-14	2003.532382
seq_054	2004-03-04	2004.173497
seq_057	2004-03-13	2004.198087
NODE_0000008	2003-04-17	2003.292707
seq_056	2004-01-01	2004.001366
seq_072	2003-10-24	2003.812329
NODE_0000009	2004-05-14	2004.367599
seq_040	2004-10-01	2004.750000
seq_043	2004-10-07	2004.766393
NODE_0000254	2004-09-14	2004.703552
seq_039	2004-09-14	2004.703552
NODE_0000255	2004-09-30	2004.747268
seq_042	2004-09-30	2004.747268
seq_041	2004-10-06	2004.763661
NODE_0000016	1997-01-24	1997.063652
NODE_0000017	2004-03-25	2004.230874
seq_262	2004-03-25	2004.230874
seq_238	2005-01-01	2005.001370
NODE_0000258	2004-10-21	2004.803809
seq_266	2006-01-01	2006.001370
NODE_0000262	2005-01-01	2005.001370
seq_236	2006-01-01	2006.001370
seq_212	2005-01-01	2005.001370
NODE_0000021	1999-07-10	1999.521105
seq_006	2002-01-01	2002.001370
NODE_0000023	2001-04-09	2001.270707
seq_004	2002-01-01	2002.001370
NODE_0000024	2001-09-28	2001.740937
seq_003	2002-06-23	2002.475342
seq_005	2002-01-01	2002.001370
NODE_0000025	1999-10-29	1999.824732
seq_002	2002-01-01	2002.001370
NODE_0000026	2001-02-11	2001.114940
NODE_0000031	2003-05-29	2003.405951
seq_108	2011-01-01	2011.001370
seq_112	2014-02-18	2014.132877
NODE_0000269	2006-03-14	2006.198940
seq_088	2009-07-24	2009.560274
NODE_0000270	2006-03-14	2006.198940
seq_103	2010-11-18	2010.880822
NODE_0000027	2011-06-04	2011.423556
seq_113	2014-09-04	2014.675342
NODE_0000028	2017-01-28	2017.075645
seq_120	2017-10-16	2017.790411
seq_141	2022-05-04	2022.338356
NODE_0000212	1952-12-28	1952.989732
seq_158	2002-01-01	2002.001370
NODE_0000213	1961-12-31	1961.998763
seq_150	2015-01-01	2015.000000
NODE_0000214	1966-10-06	1966.762389
NODE_0000215	1971-12-18	1971.962168
seq_234	1982-01-01	1982.001370
NODE_0000216	1975-02-10	1975.109974
seq_271	2003-09-28	2003.741096
NODE_0000217	1977-09-21	1977.721068
seq_307	2011-02-27	2011.157534
NODE_0000218	1980-07-15	1980.537713
seq_267	1993-09-27	1993.738356
seq_315	1996-10-01	1996.750000
NODE_0000219	1975-05-21	1975.384861
NODE_0000220	1976-08-21	1976.638661
seq_162	1982-01-01	1982.001370
seq_189	1987-01-01	1987.001370
NODE_0000221	1977-03-20	1977.214417
seq_257	1992-01-01	1992.001366
seq_312	1995-10-01	1995.749315
NODE_0000223	1978-04-10	1978.271634
seq_192	1995-01-01	1995.001370
NODE_0000224	1978-09-22	1978.725936
NODE_0000225	1982-04-19	1982.298574
seq_187	1996-01-01	1996.001366
seq_365	1996-01-01	1996.001366
NODE_0000226	1978-12-01	1978.915342
NODE_0000227	1983-03-28	1983.237088
seq_376	2006-01-01	2006.001370
seq_293	2002-01-01	2002.001370
seq_294	2003-10-01	2003.749315
NODE_0000229	1978-12-01	1978.915342
NODE_0000230	1990-03-01	1990.164103
seq_161	2006-01-01	2006.001370
seq_258	1993-01-01	1993.001370
NODE_0000231	1979-01-14	1979.038318
NODE_0000292	1990-02-14	1990.123205
seq_309	2008-12-25	2008.982240
NODE_0000294	1990-02-14	1990.123205
seq_188	1992-01-01	1992.001366
NODE_0000234	1990-11-10	1990.860009
NODE_0000235	1991-06-24	1991.478111
seq_163	1998-01-01	1998.001370
NODE_0000236	1994-04-01	1994.249291
seq_311	2001-01-15	2001.039726
seq_314	2005-04-08	2005.267123
NODE_0000237	1991-07-26	1991.566884
NODE_0000238	1994-12-31	1994.997836
seq_224	2005-01-01	2005.001370
seq_229	2005-01-01	2005.001370
NODE_0000239	1992-10-09	1992.773160
seq_227	2004-01-01	2004.001366
NODE_0000240	1993-04-16	1993.288050
NODE_0000241	1994-06-11	1994.443437
seq_226	2005-01-01	2005.001370
seq_328	2010-06-10	2010.439726
NODE_0000242	1994-05-09	1994.352880
seq_225	2004-01-01	2004.001366
NODE_0000243	1994-12-27	1994.987015
seq_295	2009-07-01	2009.497260
NODE_0000244	1996-05-14	1996.367561
seq_260	2003-01-01	2003.001370
seq_336	2012-02-13	2012.118852
NODE_0000245	1979-12-13	1979.948875
seq_223	1981-01-01	1981.001370
