#node	date	numeric date
NODE_0000046	2008-11-18	2008.882244
seq_329	2013-09-01	2013.667123
NODE_0000047	2009-12-08	2009.935975
seq_382	2015-03-23	2015.223288
NODE_0000048	2019-08-21	2019.638096
NODE_0000049	2021-08-18	2021.628767
seq_753	2021-08-18	2021.628767
seq_755	2021-08-18	2021.628767
NODE_0000050	2019-10-28	2019.822701
seq_489	2020-06-09	2020.438525
NODE_0000052	2019-12-19	2019.964855
seq_469	2020-05-05	2020.342896
seq_487	2020-05-05	2020.342896
NODE_0000053	2019-12-25	2019.981586
seq_488	2020-02-13	2020.118852
seq_504	2020-10-06	2020.763661
NODE_0000058	1990-09-07	1990.683184
seq_006	2006-01-01	2006.001370
NODE_0000059	1994-04-23	1994.309485
NODE_0000060	1996-12-07	1996.932603
NODE_0000061	1999-10-21	1999.803648
seq_388	2006-01-27	2006.072603
NODE_0000062	2000-04-25	2000.314398
seq_060	2002-01-01	2002.001370
seq_396	2006-08-02	2006.584932
NODE_0000063	1997-04-26	1997.316329
NODE_0000064	1997-07-18	1997.542979
seq_009	1999-01-01	1999.001370
seq_063	2004-01-01	2004.001366
NODE_0000065	2003-09-29	2003.745190
seq_083	2007-11-15	2007.872603
NODE_0000066	2005-09-02	2005.669461
seq_174	2010-12-01	2010.916438
NODE_0000068	2010-02-07	2010.103961
seq_723	2013-12-27	2013.987671
NODE_0000069	2012-09-28	2012.741764
seq_370	2013-11-20	2013.886301
seq_430	2015-11-17	2015.878082
NODE_0000070	2008-12-31	2008.999245
seq_341	2013-09-01	2013.667123
NODE_0000071	2009-06-25	2009.481187
NODE_0000072	2011-07-18	2011.542686
seq_356	2017-12-05	2017.927397
seq_722	2012-12-12	2012.946721
NODE_0000073	2010-11-11	2010.860482
seq_706	2011-01-10	2011.026027
NODE_0000101	2011-01-04	2011.009589
seq_716	2011-01-04	2011.009589
seq_704	2011-01-04	2011.009589
NODE_0000075	1994-10-23	1994.809000
seq_011	1999-01-01	1999.001370
NODE_0000076	1995-06-25	1995.479543
NODE_0000077	1996-12-03	1996.921418
seq_002	2001-01-01	2001.001370
seq_064	2003-01-01	2003.001370
NODE_0000078	1996-06-26	1996.485224
seq_172	2003-01-01	2003.001370
NODE_0000079	1999-10-11	1999.776116
NODE_0000080	2000-08-22	2000.641177
seq_110	2004-01-01	2004.001366
seq_245	2012-01-30	2012.080601
NODE_0000081	2000-11-20	2000.887166
seq_254	2011-01-17	2011.045205
NODE_0000082	2002-03-28	2002.235645
NODE_0000084	2003-03-03	2003.168897
seq_111	2004-01-01	2004.001366
seq_261	2012-04-20	2012.301913
NODE_0000086	2003-08-12	2003.612245
seq_263	2013-02-25	2013.152055
NODE_0000087	2007-09-03	2007.672280
seq_697	2008-11-12	2008.864754
NODE_0000088	2008-01-25	2008.067674
seq_246	2011-07-01	2011.497260
seq_506	2019-03-27	2019.234247
NODE_0000089	2002-07-02	2002.501342
seq_062	2003-01-01	2003.001370
NODE_0000091	2002-10-15	2002.786727
seq_201	2009-01-01	2009.001370
NODE_0000092	2003-04-02	2003.251655
seq_317	2013-01-01	2013.001370
NODE_0000093	2003-06-23	2003.475844
seq_272	2012-01-13	2012.034153
seq_398	2011-08-15	2011.620548
NODE_0000094	2002-10-07	2002.765944
seq_358	2017-12-20	2017.968493
NODE_0000095	2002-12-09	2002.937324
seq_399	2015-05-21	2015.384932
NODE_0000096	2005-02-10	2005.111425
seq_320	2014-01-01	2014.001370
NODE_0000097	2006-06-22	2006.472744
seq_121	2009-01-01	2009.001370
seq_359	2016-05-09	2016.353825
NODE_0000098	2003-03-05	2003.174830
seq_256	2012-02-02	2012.088798
NODE_0000099	2006-09-17	2006.710207
seq_247	2011-06-20	2011.467123
seq_578	2017-07-28	2017.571233
NODE_0000127	2004-01-01	2004.001366
seq_061	2004-01-01	2004.001366
seq_498	2020-04-15	2020.288251
NODE_0000102	2003-05-05	2003.341176
NODE_0000115	2004-04-04	2004.259341
seq_267	2011-01-01	2011.001370
NODE_0000116	2007-05-26	2007.398425
seq_507	2019-03-20	2019.215068
NODE_0000117	2011-09-26	2011.736519
seq_262	2012-07-05	2012.509563
seq_492	2019-10-17	2019.793151
NODE_0000118	2003-07-13	2003.531294
NODE_0000119	2003-10-03	2003.755627
NODE_0000120	2004-05-08	2004.351168
seq_167	2008-09-01	2008.668033
seq_332	2014-09-01	2014.667123
NODE_0000121	2004-07-26	2004.566872
seq_210	2013-03-01	2013.163014
seq_528	2018-11-20	2018.886301
NODE_0000122	2004-11-21	2004.889163
seq_168	2009-12-01	2009.916438
NODE_0000123	2005-12-09	2005.938257
seq_330	2014-09-01	2014.667123
NODE_0000124	2007-01-07	2007.018238
seq_278	2012-05-15	2012.370219
NODE_0000125	2008-02-27	2008.157053
seq_335	2015-09-01	2015.667123
seq_441	2017-03-10	2017.187671
NODE_0000103	2006-04-20	2006.299258
NODE_0000104	2007-11-20	2007.885865
seq_442	2017-01-24	2017.064384
NODE_0000105	2008-08-15	2008.621771
seq_280	2013-01-18	2013.047945
seq_523	2020-10-01	2020.750000
NODE_0000106	2009-11-07	2009.849580
seq_336	2015-09-01	2015.667123
NODE_0000107	2010-08-09	2010.604419
seq_208	2012-08-01	2012.583333
NODE_0000108	2011-02-24	2011.149571
seq_433	2017-01-30	2017.080822
NODE_0000109	2011-11-15	2011.873932
seq_733	2016-10-01	2016.750000
seq_233	2013-07-01	2013.497260
NODE_0000111	2012-07-04	2012.507378
seq_234	2013-09-01	2013.667123
seq_773	2014-01-01	2014.001370
NODE_0000113	2012-10-17	2012.793353
seq_235	2013-10-01	2013.749315
seq_236	2013-11-01	2013.834247
NODE_0000128	2003-05-16	2003.371508
seq_387	2006-04-10	2006.272603
NODE_0000130	2003-06-27	2003.485543
seq_260	2011-03-29	2011.239726
NODE_0000131	2008-06-17	2008.461493
seq_266	2012-02-03	2012.091530
seq_497	2019-10-01	2019.749315
NODE_0000132	2003-11-19	2003.884841
NODE_0000133	2005-03-27	2005.233643
NODE_0000134	2008-09-23	2008.727483
seq_397	2011-10-14	2011.784932
seq_703	2010-10-21	2010.804110
NODE_0000135	2005-11-22	2005.891778
seq_415	2016-10-12	2016.780055
seq_416	2017-02-22	2017.143836
NODE_0000136	2004-01-15	2004.038946
NODE_0000137	2004-08-30	2004.661302
seq_248	2012-01-01	2012.001366
seq_342	2017-07-18	2017.543836
NODE_0000138	2006-09-27	2006.737249
NODE_0000139	2008-07-12	2008.528157
seq_468	2018-01-01	2018.001370
seq_496	2020-03-19	2020.214481
NODE_0000140	2009-04-12	2009.279040
seq_324	2017-01-01	2017.001370
NODE_0000141	--	--
seq_401	--	--
seq_402	--	--
NODE_0000143	2003-08-26	2003.651476
NODE_0000164	2003-11-11	2003.860497
seq_270	2012-10-03	2012.755464
NODE_0000166	2004-07-09	2004.519229
seq_200	2010-01-01	2010.001370
seq_275	2012-10-18	2012.796448
NODE_0000167	2003-12-27	2003.987595
seq_509	2019-06-02	2019.417808
NODE_0000168	2007-01-27	2007.073022
seq_269	2012-05-15	2012.370219
NODE_0000169	2010-08-17	2010.624916
seq_274	2013-03-01	2013.163014
seq_276	2012-07-31	2012.580601
NODE_0000144	2004-02-09	2004.107893
seq_380	2016-09-01	2016.668033
NODE_0000146	2005-04-18	2005.294178
seq_268	2010-11-03	2010.839726
NODE_0000147	2006-09-21	2006.721419
seq_255	2011-05-05	2011.341096
seq_394	2013-04-15	2013.286301
NODE_0000148	2004-05-28	2004.404821
NODE_0000149	2005-05-16	2005.371138
seq_273	2012-10-18	2012.796448
seq_556	2011-10-27	2011.820548
NODE_0000151	2004-12-24	2004.979057
seq_376	2017-05-15	2017.368493
seq_457	2018-01-03	2018.006849
